ID,Name,Age,OVA,Nationality,Club,BP,foot,Attacking,Heading Accuracy,Short Passing,Skill,Movement,Acceleration,Shot Power,Jumping,Stamina,Strength,Height_cm,Weight_kg,Contract_Years,total_injuries,total_days_missed,total_games_missed,avg_days_per_injury,injury_risk_score,latest_market_val,latest_season,avg_sentiment,sentiment_label,sentiment_count,age_peak_diff,is_peak_age,age_squared,career_stage,physical_index,technical_index,performance_score,position_group,pos_defender,pos_forward,pos_goalkeeper,pos_midfielder,pos_other,injury_risk_category,availability_score,is_left_footed,contract_value_proxy,num_seasons,max_market_val,min_market_val,mean_market_val,avg_growth_rate,last_market_val,value_volatility,sentiment_performance_index,log_market_val,value_per_ova,injury_adj_performance,potential_score,value_trend,OVA_norm,performance_score_norm,physical_index_norm,technical_index_norm,total_days_missed_norm,avg_sentiment_norm,Contract_Years_norm,Age_norm
241463,Dani Raba,24,73,Spain,Villarreal CF,CAM,Left,314.0,42,73,337,329,70,73,49.0,59,63,182.9,76.2,6.0,1,18,2,18.0,18.0,900000.0,2020.0,0.514,positive,5.0,-2,1,576,developing,60.25,62.67,48.8,midfielder,False,False,False,True,False,low,0.996,1,438.0,3.0,900000.0,900000.0,900000.0,0.0,900000.0,0.0,51.308,13.71015115341694,12329.0,48.605,74.46,stable,0.4571428571428573,0.5705289672544079,0.2291169451073986,0.29959459459459464,0.0031524431434361636,0.7439797211660328,0.375,0.34782608695652173
201942,Roberto Firmino,28,87,Brazil,Liverpool,CF,Right,400.0,75,87,403,416,78,82,81.0,88,74,180.3,76.2,8.0,15,291,62,19.4,19.4,40000000.0,2015.0,0.268,positive,5.0,2,1,784,prime,80.25,81.33,59.18,forward,False,True,False,False,False,high,0.935,0,696.0,2.0,40000000.0,40000000.0,40000000.0,0.0,40000000.0,0.0,60.766,17.50439003707821,459770.0,55.333,87.0,stable,0.8571428571428572,0.8973551637279596,0.4200477326968974,0.4256756756756757,0.06462508444044134,0.5880861850443599,0.5,0.5217391304347827
244389,Fernando,21,71,Brazil,Shakhtar Donetsk,CAM,Right,266.0,36,66,298,388,87,58,43.0,54,42,175.3,68.9,6.0,38,2281,333,60.0,60.0,2000000.0,2020.0,0.424,positive,5.0,-5,0,441,developing,56.5,53.33,47.44,midfielder,False,False,False,True,False,high,0.487,0,426.0,3.0,1500000.0,1200000.0,1500000.0,0.0,1500000.0,0.0,49.451,14.220976332738882,21127.0,23.103,76.68,stable,0.3999999999999999,0.5277078085642316,0.1933174224343675,0.2364864864864865,0.5127223598288673,0.6869455006337135,0.375,0.21739130434782605
168621,Zeca,31,76,Greece,FC København,CDM,Right,322.0,58,78,351,381,74,68,66.0,91,72,182.9,67.1,6.0,9,807,123,89.7,89.7,1500000.0,2011.0,0.497,positive,5.0,5,0,961,experienced,75.75,68.0,51.48,midfielder,False,False,False,True,False,high,0.818,0,456.0,2.0,1500000.0,1500000.0,1500000.0,0.0,1500000.0,0.0,54.039,14.220976332738882,19737.0,42.111,76.0,stable,0.5428571428571427,0.654911838790932,0.37708830548926014,0.33560810810810815,0.1808151317270885,0.7332065906210392,0.375,0.6521739130434783
191740,Ander Herrera,30,79,Spain,Paris Saint-Germain,CDM,Right,350.0,63,82,379,365,69,78,62.0,82,69,182.9,71.2,5.0,15,415,64,27.7,27.7,13000000.0,2019.0,0.547,positive,5.0,4,0,900,experienced,70.5,74.33,53.48,midfielder,False,False,False,True,False,high,0.907,0,395.0,3.0,13000000.0,13000000.0,13000000.0,0.0,13000000.0,0.0,56.405,16.380459992348886,164557.0,48.506,79.0,stable,0.6285714285714286,0.7178841309823677,0.32696897374701667,0.37837837837837845,0.09254672371087592,0.7648922686945501,0.3125,0.6086956521739131
191687,Maicon,31,78,Brazil,Al Nassr,CB,Right,289.0,83,67,334,247,50,85,71.0,72,90,190.5,83.9,1.0,22,648,130,29.5,29.5,1500000.0,2020.0,0.245,positive,5.0,5,0,961,experienced,70.75,78.33,48.6,defender,True,False,False,False,False,high,0.854,0,78.0,3.0,1500000.0,1200000.0,1500000.0,0.0,1500000.0,0.0,49.791,14.220976332738882,19231.0,41.504,78.0,stable,0.6000000000000001,0.5642317380352645,0.32935560859188545,0.40540540540540543,0.1450123845980635,0.5735107731305449,0.0625,0.6521739130434783
220651,Angeliño,23,80,Spain,RB Leipzig,CM,Left,345.0,59,79,400,388,86,80,73.0,87,62,175.3,68.9,4.0,3,65,10,21.7,21.7,35000000.0,2021.0,0.272,positive,5.0,-3,1,529,developing,77.0,72.67,54.66,midfielder,False,False,False,True,False,medium,0.985,1,320.0,4.0,35000000.0,35000000.0,35000000.0,0.0,35000000.0,0.0,56.147,17.370858648025116,437500.0,53.84,83.2,stable,0.657142857142857,0.7550377833753147,0.38902147971360385,0.36716216216216224,0.013735645124971852,0.5906210392902408,0.25,0.30434782608695654
210385,Rui Silva,26,79,Portugal,Granada CF,GK,Right,92.0,14,25,107,190,31,56,62.0,27,66,190.5,91.2,4.0,3,18,4,6.0,6.0,12000000.0,2021.0,-0.048,neutral,5.0,0,1,676,prime,46.5,31.67,39.38,goalkeeper,False,False,True,False,False,low,0.996,0,316.0,5.0,12000000.0,200000.0,7280000.0,11.6033,12000000.0,1.621,39.191,16.300417291085605,151899.0,39.222,79.0,rising_fast,0.6285714285714286,0.2739294710327457,0.09785202863961812,0.09013513513513517,0.0031524431434361636,0.38783269961977185,0.25,0.4347826086956521
223334,Joelinton,23,75,Brazil,Newcastle United,ST,Right,332.0,75,73,295,362,75,81,76.0,75,85,185.4,81.2,5.0,15,327,45,21.8,21.8,17000000.0,2019.0,0.192,positive,5.0,-3,1,529,developing,77.75,76.33,49.78,forward,False,True,False,False,False,high,0.926,0,375.0,4.0,17000000.0,17000000.0,17000000.0,0.0,17000000.0,0.0,50.736,16.648723960844016,226667.0,46.096,78.0,stable,0.5142857142857142,0.6013853904282117,0.3961813842482101,0.39189189189189194,0.07273136680927718,0.5399239543726235,0.3125,0.30434782608695654
190483,Douglas Costa,29,84,Brazil,Juventus,LM,Left,355.0,50,83,410,450,94,86,60.0,68,56,172.7,69.9,4.0,15,589,73,39.3,39.3,6000000.0,2020.0,0.487,positive,5.0,3,0,841,prime,69.5,73.0,57.9,midfielder,False,False,False,True,False,high,0.867,1,336.0,4.0,6000000.0,6000000.0,6000000.0,0.0,6000000.0,0.0,60.72,15.607270193858982,71429.0,50.199,84.0,stable,0.7714285714285714,0.8570528967254408,0.31742243436754175,0.3693918918918919,0.13172708849358253,0.726869455006337,0.25,0.5652173913043479
